id,en,ru,in,vi,pt,el,de,es,cs,it,pl,fr
app_name,DT78,DT78,DT78,DT78,DT78,DT78,DT78,DT78,DT78,DT78,DT78,DT78
add_contact,Add contact,Добавить контакт,Tambah kontak,Thêm số liên lạc,Adicionar contato,Προσθέστε επαφή,Kontakt hinzufügen,Agregar contacto,Přidat kontakt,Aggiungi contatto,Dodaj kontakt,Ajouter contact
age,Age,Возраст,Usia,Tuổi tác,Idade,Ηλικία,Alter,Años,Věk,Età,Wiek,Age
alarm,Alarm,Сигнал,Alarm,Báo thức,Despertador,Ξυπνητηρι,Alarm,Alarma,Buzení,Sveglia,Alarm,Alarme
alarms,Alarms,Сигналы,Alarms,Các báo thức,alarmes,Συναγερμός,Alarme,alarmas,Budíky,Sveglie,Alarmy,Alarmes
bat_charging,[ Charging ],[ Зарядка ],[ Mengisi ],[Sạc],[carregando],[Φόρτιση],[Aufladen],[Carga],[Nabíjení baterie],[ In carica ],[ Ładuje ],[ En charge ]
bat_notifs,Battery Notifications,Уведомления о батарее,Pemberitahuan Baterai,Thông báo pin,Notificações de bateria,Ειδοποιήσεις Μπαταρία,Batterie-Benachrichtigungen,Notificaciones de la batería,[Oznámení baterie],Notifiche della Batteria,Ostrzerzenie o baterii,Notifications de batterie
bat_phone,[ Phone battery ],[ Батарея телефона ],[ Baterai ponsel ],[Pin điện thoại],[bateria do telefone],[Η μπαταρία του τηλεφώνου],[Telefon Batterie],[Batería de teléfono],[Baterie telefonu],[ Batteria telefono ],[ Bateria telefonu ],[ Batterie du téléphone ]
bat_unplugged,[ Unplugged ],[ Отключен ],[ Dicabut ],[Đã rút dây sạc],[ Desconectado ],[ Αποσυνδεδεμένο ],[Nicht angeschlossen],[ Desenchufado ],[Baterie Odpojena],[ Scollegato ],[ Rozłączony ],[ Débranché ]
battery,Battery,Батарея,Baterai,Pin,Bateria,Μπαταρία,Batterie,Batería,Baterie,Batteria,Bateria,Batterie
battery_icon,Battery icon,Значок батареи,Ikon baterai,Biểu tượng pin,ícone da bateria,εικονίδιο μπαταρίας,Batteriesymbol,icono de la batería,Ikona baterie,Icona batteria,Ikona baterii,Icône de batterie
bph,Blood Pressure,Давление,Tekanan darah,Huyết áp,Pressão arterial,Πίεση αίματος,Blutdruck,Presión arterial,Krevní tlak,Pressione del sangue,Ciśnienie krwi,Pression Artérielle
bpm,bpm,уд/мин,bpm,bpm,bpm,bpm,bpm,bpm,BPM,bpm,bpm,bpm
bt_settings,BT Settings,Настройки BT,Pengaturan Bluetooth,BT Cài đặt,Configurações BT,Ρυθμίσεις BT,BT-Einstellungen,configuración de BT,BT nastavení,Impostazioni BT,Ustawienia BT,Paramètres BT
camera,Camera,Камера,Kamera,Máy ảnh,Câmera,Καμερα,Kamera,Cámara,Fotoaparát,Macchina fotografica,Kamera,Appareil photo
cancel,Cancel,Отмена,Membatalkan,Hủy bỏ,Cancelar,Ακυρωση,Abrechen,Cancelar,Ukončení,Annulla,Cofnij,Annulation
capitalize,Capitalize watch notifications,Сделать текст уведомления заглавными,Memanfaatkan notifikasi jam tangan,Viết hoa thông báo trên đồng hồ,Capitalizar notificações relógio,Κεφαλαίο ειδοποιήσεις ρολόι,Uhr Benachrichtigungen aktivieren,Capitalizar notificaciones del reloj,Přepnout velká písmena oznámení hodinek,Notifiche orologio in maiuscolo,Duże litery powiadomień,Notifications en majuscules
channel_desc,Connection status notifications,Уведомления о статусе подключения,Connection status notifications,Thông báo tình trạng kết nối,notificações de status de conexão,ειδοποιήσεις κατάστασης σύνδεσης,Verbindungsstatus-Benachrichtigungen,notificaciones de estado de conexión,Oznámení o stavu připojení,Notifiche stato connessione,Stan połączenia,Notifications de statut de connexion
choose_app,Choose Apps,Выбрать приложения,Pilih Aplikasi,Chọn ứng dụng,Escolha Apps,Επιλέξτε Εφαρμογές,Apps auswählen,Elija Aplicaciones,Výbět aplikací,Scegli le app,Wybierz aplikacje,Choisir les applications
choose_apps,Tap to select apps,Нажмите для выбора приложений,Tap to select apps,Bấm để chọn ứng dụng,Toque para selecionar aplicativos,Πατήστε για να επιλέξετε τις εφαρμογές,"Tippen um Apps auszuwählen",Toque para seleccionar aplicaciones,Klepnutím vyberte aplikace,Tocca per selezionare le app,Dotknij aby wybrać aplikację,Taper pour sélectionner les applications
cm,cm,см,cm,cm,cm,εκ,cm,cm,cm,cm,cm,cm
colored,Colorize icons,Раскрасить значки,Warnai ikon,Biểu tượng,Colorir ícones,εικονίδια Χρωματίστε,Farb-Symbole,Colorear iconos,Barva ikony,Icone colorate,Kolorowe ikony,Coloriser les icônes
connect_set,Connect watch to set a one time alarm,"Подключите часы чтобы установить одноразовый будильник",Hubungkan jam tangan untuk menyetel alarm satu kali,Kết nối đồng hồ để thiết lập một báo thức,relógio Ligar para definir um alarme de uma só vez,Συνδέστε το ρολόι για να ρυθμίσετε μια ειδοποίηση μία φορά,Verbinde Uhr für einmaligen Alarm,reloj de conexión para configurar una alarma que suena una vez,Připojte hodinky a nastavte jednorázový budík,Collega l'orologio per impostare una sveglia,Podłącz zegarek aby ustawić alarm,Connecter la montre pour définir une alarme éphémère
